カード名,色,レアリティ,分類,タイプ,コアコスト,コア総量,生成コア,ＡＴＫ,ＨＰ,コアレシオ,効果1,効果2,効果3,効果4,補足,画像ファイル名,読み
赤錆の大剣 ダガート,赤,アンコモン,エピック・ユニット,人間・戦士・無頼,(3)(赤),4,1,2000,1500,0.88,脅威（これは２体以上のユニットによってしか防御されない。）,これが登場するか攻撃するたび：カード最大２枚を捨て、その後、その枚数に等しい枚数のカードを引く。,-,-,-,r_akasabi_no_taiken_daggert.png,あかさびのたいけんだがーと
荒ぶる猛牛タウラス,赤,コモン,ユニット,タウラス・狂戦士・しもべ,(3)(赤),4,1,1500,2000,0.88,これが使役された状態で攻撃するたび：これはこれでない各ユニットにそれぞれ５００のダメージを与える。,使役１５００（あなたがコントロールしていてこれでない望む数のユニットを、ＡＴＫの合計が１５００以上になるように選んで疲労させる：ターン終了時まで、これは使役された状態になる。）,-,-,火力はユニット限定。,r_araburu_mougyuu_taurus.png,あらぶるもうぎゅうたうらす
燃牙山のドラゴン,赤,レジェンド,ユニット,ドラゴン,(4)(赤)(赤),6,0,3000,2500,0.92,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,速攻（これは、あなたのコントロール下になってすぐに攻撃したり(T)能力を使ったりできる。）,(赤)：ターン終了時まで、これは＋５００/＋０の変動を受ける。,-,エクシード。出した時点で６コア以上あるはずなので、次のターン以降はＡＴＫ＋３０００以上のパンプが期待できる。単純な使いやすさではバーニング・ドラゴンの方が上か？,r_moekibasan_no_dragon_v1.png,もえきばさんのどらごん
遠吠え,赤,コモン,マジック,-,(1)(赤),2,1,-,-,,赤の５００/５００のコボルト・ユニット・トークン２体を生成する。,-,-,-,-,r_tooboe.png,とおぼえ
エクスプロージョン,赤,コモン,マジック,-,(赤)(赤),2,1,-,-,,これは各プレイヤーにそれぞれ２０００のダメージを与える。,-,-,-,プレイヤー限定火力。高火力だが盤面には触れない。,r_explosion.png,えくすぷろーじょん
大噴火,赤,レア,マジック,-,(X)(赤)(赤),2～,0,-,-,,これは、各プレイヤーと飛行を持たない各ユニットにそれぞれ５００[Ｘ]のダメージを与える。,-,-,-,エクシード。ユニット・プレイヤーすべてにダメージ。,r_daifunka.png,だいふんか
融解,赤,コモン,マジック,-,(1)(赤)(赤),3,1,-,-,,以下から１つを選ぶ。・ユニット１体を対象とする。これはそれに２０００のダメージを与える。・オルガノン１つを対象とする。それを破壊する。,-,-,-,火力はユニット限定。,r_yuukai.png,ゆうかい
火炎,赤,コモン,フラッシュ,-,(赤),1,1,-,-,,１つを対象とする。これはそれに１０００のダメージを与える。,-,-,-,耐久２以下のユニットの除去。ユニット・プレイヤーどちらも選べる火力。,r_kaen.png,かえん
木洩れ日の逍遥者,緑,アンコモン,ユニット,ウッドフット,(緑),1,1,500,500,1.00,(1)(緑)：ターン終了時まで、これは＋１０００/＋１０００の変動を受け、貫通を得る。この能力は、毎ターン１回のみ起動できる。（貫通を持つユニットは余剰の戦闘ダメージを、それが攻撃しているプレイヤーに与える。）,-,-,-,-,g_komorebi_no_shouyousha.png,こもれびのしょうようしゃ
エルフの風術師,緑,コモン,ユニット,エルフ,(緑),1,1,0,500,0.50,(T)：(緑)をコア・プールに加える。,-,-,-,-,g_elf_no_fuujutsushi.png,えるふのふうじゅつし
アルヴヘイムの見張り番,緑,コモン,ユニット,エルフ・射手,(1)(緑),2,1,1000,500,0.75,対空（これは飛行を持つユニットを防御できる。）,(2)(緑)：ターン終了時まで、これは触死を得る。（これがなんらかのダメージをユニットに与えた場合、それだけで破壊する。）,-,-,-,g_alfheim_no_mihariban.png,あるゔへいむのみはりばん
虹彩葉の森人,緑,アンコモン,ユニット,ウッドフット,(1)(緑),2,1,500,1000,0.75,専守（これは攻撃できない。）,(T)：好きな色１色のコア１点をコア・プールに加える。,-,-,-,g_kousaiba_no_moribito.png,こうさいばのもりびと
サヴィラの若き戦士,緑,アンコモン,ユニット,人間・戦士,(1)(緑),2,1,500,500,0.50,チャージ ― あなたがコントロールしている結晶１つが結晶ゾーンに置かれるたび：これの上に＋５００/＋５００カウンター１個を置く。,-,-,-,-,g_savila_no_wakaki_senshi.png,さゔぃらのわかきせんし
密林の捕食者,緑,コモン,ユニット,蛇,(1)(緑),2,1,1000,500,0.75,死兆１（これがプレイヤーに戦闘ダメージを与えるたび：そのプレイヤーは死兆カウンター１個を得る。）（１０個以上の死兆カウンターを持っているプレイヤーはこのゲームに敗北する。）,-,-,-,-,g_mitsurin_no_hoshokusha.png,みつりんのほしょくしゃ
息巻く剛獣,緑,コモン,ユニット,ビースト,(緑)(緑)(緑),3,1,2000,2000,1.33,-,-,-,-,バニラ,g_ikimaku_goujuu.png,いきまくごうじゅう
古森の賢者,緑,コモン,ユニット,ビースト,(2)(緑),3,1,1000,500,0.50,これが登場した時：あなたのデッキの一番上のカードを疲労状態で結晶ゾーンに置く。,-,-,-,出た瞬間に仕事をするのは評価点。,g_furumori_no_kenja.png,ふるもりのけんじゃ
千年の神仙獣 ユメハナ,緑,レア,エピック・ユニット,ビースト・妖怪・神性,(3)(緑),4,1,2000,2000,1.00,これが死亡した時：あなたは(2)(緑)を支払ってもよい。支払った場合、あなたの墓地にあるこれを疲労状態でバトルゾーンに戻す。,-,-,-,手札やデッキから墓地へ送られても効果は誘発しない。,g_sen_nen_no_shinsenjuu_yumehana.png,せんねんのしんせんじゅうゆめはな
渡河淵の牛鬼,緑,レア,ユニット,ビースト・牛・鬼・妖怪,(2)(緑)(緑),4,0,1000,2000,0.75,残心（これは攻撃に参加しても疲労しない。）,触死（これがなんらかのダメージをユニットに与えた場合、それだけで破壊する。）,これがプレイヤーに戦闘ダメージを与えるたび：そのプレイヤーは、黒のウイルス・エフェクト・トークン１つを生成する。それは、「あなたのターンの開始時：あなたは死兆カウンター１個を得る。」を持つ。（１０個以上の死兆カウンターを持っているプレイヤーはこのゲームに敗北する。）,-,エクシード。特殊勝利条件持ち。攻撃を当てるたびに死兆カウンターを加速。,g_togabuchi_no_gyuuki.png,とがぶちのぎゅうき
一ッ目だいらぼう,緑,アンコモン,ユニット,妖怪・神性,(3)(緑)(緑),5,1,1500,2500,0.80,専守（これは攻撃できない。）,対空（これは飛行を持つユニットを防御できる。）,これは、直前のそのプレイヤーのターンの間にあなたを攻撃したプレイヤーを、専守を持たないかのように攻撃できる。,これが攻撃するたび：ターン終了時まで、これは＋１５００/＋１５００の変動を受ける。,-,g_hitotsume_dairabou.png,ひとつめだいらぼう
暴君キマイラ,緑,レア,ユニット,ビースト・コウモリ・蛇,(4)(緑)(緑)(緑),7,0,4000,4000,1.14,貫通（これは余剰の戦闘ダメージを、これが攻撃しているプレイヤーに与える。）,他の緑のユニット２体を生け贄に捧げる：ターン終了時までこれは不壊を得る。（ダメージや「破壊」と書かれた効果では、これは破壊されない。）,-,-,エクシード。,g_boukun_chimera.png,ぼうくんきまいら
石槌嶽のドラゴン,緑,レジェンド,ユニット,ドラゴン,(5)(緑)(緑)(緑),8,0,2000,4000,0.75,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,抵抗(5)（これが対戦相手がコントロールしているカードや能力の対象になるたび：そのプレイヤーが(5)を支払わないかぎり、そのカードや能力を無効にする。）,あなたのターンのバトルフェイズ開始時：ターン終了時まで、あなたがコントロールしていてこれでないすべてのユニットは＋Ｘ/＋Ｘの変動を受ける。ＸはこれのＡＴＫに等しい。,-,エクシード。これ自体を強化すればパンプ量も増える。また全体効果以外には高い耐性がある。,g_ishizuchidake_no_dragon_v1.png,いしづちだけのどらごん
闘争本能,緑,コモン,マジック,-,(緑),1,1,-,-,,あなたがコントロールしているユニット１体を対象とし、対戦相手がコントロールしているユニット１体を対象とする。その前者はその後者と激突する。（それぞれはもう一方に自身のＡＴＫに等しい点数のダメージを与える。）,-,-,-,-,g_tousou_honnou.png,とうそうほんのう
原生回帰,緑,アンコモン,マジック,-,(2)(緑),3,1,-,-,,以下から１つを選ぶ。・オルガノンやエフェクト１つを対象とする。それを破壊する。・ユニット１体を対象とする。それは能力をすべて失い、「(T)：コア・プールに(緑)を加える。」を持つ。,-,-,-,置物はなんでも除去可能。対戦相手のユニットに対しては、効果は無効にできるが、攻撃や防御は止められず、相手のコアも加速してしまう。一応自分のユニットもコアユニット化できるがアド損してまで使うべきか。,g_gensei_kaiki.png,げんせいかいき
森の豊穣祭,緑,コモン,マジック,-,(1)(緑),2,1,-,-,,デッキのカード３枚を削る。その後、あなたの墓地にある緑のユニット・カード１枚をあなたの手札に戻してもよい（デッキのカード２枚を削るとは、あなたのデッキの一番上にあるカード２枚をあなたの墓地に置くことである。）,-,-,-,-,g_mori_no_houjousai.png,もりのほうじょうさい
パンプアップ,緑,コモン,フラッシュ,-,(1)(緑),2,1,-,-,,ユニット１体を対象とする。ターン終了時まで、それは＋１５００/＋１５００の変動を受け貫通を得る。（貫通を持つユニットは余剰の戦闘ダメージを、それが攻撃しているプレイヤーに与える。）,-,-,-,-,g_pump_up.png,ぱんぷあっぷ
精霊の樹,緑,コモン,エフェクト,-,(1)(緑),2,1,-,-,,チャージ ― あなたがコントロールしている結晶１つが結晶ゾーンに置かれるたび：あなたがコントロールしているユニット１体を対象とする。それに＋５００/＋５００カウンター１個を置く。,結晶１つを生け贄に捧げる：あなたは５００のライフを得る。,-,-,-,g_seirei_no_ki.png,せいれいのき
たゆたう岩亀,青,コモン,ユニット,亀,(青),1,1,0,2000,2.00,-,-,-,-,バニラ,u_tayutau_iwagame.png,たゆたういわがめ
マレヴィア宮の調魔師,青,コモン,ユニット,マーフォーク・魔術師,(青),1,1,500,500,1.00,潜水（これはあなたのターンの終了時に消失状態になり、次のこれのコントローラーのターン開始時まで、これやこれについているすべてのものは存在しないかのように扱う。）,これが登場した時：あなたは予知１を行う。（あなたのデッキの一番上のカードを見る。あなたはそのカードをあなたのデッキの一番下に置いてもよい。）,-,-,相手ターンにはいないので魔撃とはやや相性が悪い。,u_malevia_kyuu_no_choumashi.png,まれゔぃあきゅうのちょうまし
暗沼の人魚,青,コモン,ユニット,マーフォーク・妖怪,(1)(青),2,1,1000,1000,1.00,これが登場した時：対戦相手がコントロールしているユニット１体を対象とし、それを疲労させてもよい。それは、次の、それのコントローラーの活性化ステップに活性化しない。,-,-,-,-,u_swamp_mermaid.png,すわんぷまーめいど
空からの刺客,青,コモン,ユニット,バードフォーク・兵士,(1)(青),2,1,500,500,0.50,即時（あなたはこれをフラッシュ・タイミングで召喚してもよい。）,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,これが登場した時：対戦相手がコントロールしているユニット１体を対象とし、それを疲労させてもよい。,-,相手ターンにでも出せるので小回りが利く。,u_sora_kara_no_shikaku.png,そらからのしかく
魔術の探求者,青,コモン,ユニット,人間・魔術師,(1)(青),2,1,500,1000,0.75,これが登場した時：あなたは予知１を行う。（あなたのデッキの一番上のカードを見る。あなたはそのカードをあなたのデッキの一番下に置いてもよい。）,"(3)(青),(T)：カード１枚を引く。",-,-,-,u_majutsu_no_tankyuusha.png,まじゅつのたんきゅうしゃ
アルクトゥーンの魔術師,青,コモン,ユニット,バードフォーク・魔術師,(2)(青),3,1,1000,500,0.50,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,これが登場した時：あなたは予知１を行い、その後カード１枚を引く。（予知１を行うには、あなたのデッキの一番上のカードを見る。あなたはそのカードをあなたのデッキの一番下に置いてもよい。）,-,-,-,u_arktoon_no_majutsushi.png,あるくとぅーんのまじゅつし
天蓋のローテッサ,青,レア,エピック・ユニット,メーガス・魔術師,(2)(青),3,1,0,2000,0.67,対戦相手がコントロールしているユニット１体が疲労状態になるたび：それが攻撃ユニットとして指定されたのでなければ、あなたはカード１枚を引いてよい。,-,-,-,攻撃時の疲労に対しては誘発しない。優秀だが単体では効果は発動せず他のカードとのコンボ頼り。(T)を繰り返し多用するような対戦相手には刺さる。,u_tengai_no_rotessa.png,てんがいのろーてっさ
六花の隠遁者,青,アンコモン,ユニット,メーガス,(3)(青),4,1,1500,1500,0.75,残心（これは攻撃に参加しても疲労しない。）,１体以上のユニットがあなたを攻撃するたび：ターン終了時まで、それらのユニットは－５００/－０の変動を受ける。,-,-,-,u_rikka_no_intonsha.png,りっかのいんとんしゃ
三叉槍の指揮官,青,レア,ユニット,マーフォーク・兵士,(2)(青)(青),4,1,1000,1500,0.63,潜水（これはあなたのターンの終了時に消失状態になり、次のこれのコントローラーのターン開始時まで、これやこれについているすべてのものは存在しないかのように扱う。）,あなたがコントロールしていてこれでない１体以上のユニットがプレイヤー１人に戦闘ダメージを与えるたび：あなたはカード１枚を引く。,-,-,戦闘ダメージは同時に発生するため、２体以上で攻撃しても一度のみ誘発。,u_trident_commander.png,とらいでんとこまんだー
眠りを妨げられし海竜王,青,レア,ユニット,大海魔・海蛇,(3)(青)(青),5,1,2000,2000,0.80,隔絶（これは、対戦相手がコントロールしているカードや能力の対象にならない。）,(3)(青)：ターン終了時まで、これは防御されない。,-,-,-,u_nemuri_o_samatagerareshi_kairyuuou.png,ねむりをさまたげられしかいりゅうおう
極光星天 シルヴェイル,青,レジェンド,エピック・ユニット,エルダー・ドラゴン,(4)(青)(青)(青),7,0,2500,2500,0.71,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,あなたはゲームに敗北できない。あなたの対戦相手はゲームに勝利できない。,プレイヤー１人が自身のターン中で２つ目のカードを発動や召喚するたび：このターンをエンドフェイズまでスキップする。,-,エクシード。エンドフェイズまで飛ばす効果について：「“自分含む全てのプレイヤー”が、“自身のターン中”に」である。また、誘発効果であり、２つ目が使われた瞬間に誘発し、この時チェイン上のカードや能力は失われず、その２つ目に使われたカードや能力は通常通り解決される。,u_kyokkou_seiten_silvail_v1.png,きょっこうせいてんしるゔぇいる
妄目の瘤壺,青,コモン,マジック,-,(2)(青),3,1,-,-,,カード２枚を引く。,-,-,-,-,u_moumoku_no_rutsubo.png,もうもくのるつぼ
吹き飛ばし,青,コモン,フラッシュ,-,(青),1,1,-,-,,ユニット１体を対象とし、それを持ち主の手札に戻す。,-,-,-,-,u_fukitobashi.png,ふきとばし
予見の水晶,青,コモン,フラッシュ,-,(青),1,1,-,-,,あなたは予知１を行い、その後カード１枚を引く。（予知１を行うには、あなたのデッキの一番上のカードを見る。あなたはそのカードをあなたのデッキの一番下に置いてもよい。）,-,-,-,-,u_yoken_no_suishou.png,よけんのすいしょう
魔撃,青,アンコモン,フラッシュ,-,(2)(青),3,1,-,-,,あなたが魔術師をコントロールしている場合、これを発動するためのコストは(1)少なくなる。-,カードの発動やユニットの召喚１つを対象とする。そのコントローラーが(3)を支払わないかぎり、それを無効にする。,-,-,-,u_mageki.png,まげき
不可解な撤退命令,青,アンコモン,フラッシュ,-,(2)(青)(青),4,1,-,-,,すべての攻撃ユニットを持ち主の手札に戻す。,-,-,-,-,u_fukakai_na_tettaimeirei.png,ふかかいなてったいめいれい
鎮静化,青,コモン,エフェクト,リンク,(1)(青),2,1,-,-,,エフェクト（ユニット）,このエフェクトが登場した時：エフェクトを受けているユニットを疲労させる。,エフェクトを受けているユニットは、それのコントローラーの活性化ステップに活性化しない。,-,-,u_chinseika.png,ちんせいか
回鳴の秘石,青,コモン,オルガノン,-,(1)(青),2,1,-,-,,各ターン内で初めてあなたが予知を行うたび：場在カード１つを対象とする。あなたはそれを活性化または疲労させてもよい。,-,-,-,-,u_kaimei_no_hiseki.png,かいめいのひせき
不倒の勇士,白,コモン,ユニット,人間・兵士,(白),1,1,500,1500,2.00,-,-,-,-,バニラ。,w_futou_no_yuushi.png,ふとうのゆうし
黎明のいななき,白,アンコモン,ユニット,ユニコーン,(白),1,1,500,500,1.00,あなたがコントロールしていて、結晶でもこれでもない場在カード１枚が登場するたび：５００のライフを得る。,-,-,-,結晶以外であればなんでもよく範囲が広い。,w_reimei_no_inanaki.png,れいめいのいななき
桜月の剣士,白,レア,ユニット,ケットシー・剣士,(1)(白),2,1,500,500,0.50,先制攻撃（これは先制攻撃を持たないユニットよりも先に戦闘ダメージを与える。）,あなたがライフを得るたび：これの上に＋５００/＋５００カウンター１個を置く。,-,-,-,w_ougetsu_no_kenshi.png,おうげつのけんし
狂信的な演説者,白,コモン,ユニット,人間・市民,(1)(白),2,1,500,1500,1.00,あなたがコントロールしていてこれでないユニット１体が登場するたび：５００のライフを得る。,-,-,-,-,w_kyoushinteki_na_enzetsusha.png,きょうしんてきなえんぜつしゃ
巨槌の重装先兵,白,アンコモン,ユニット,人間・兵士,(1)(白),2,1,1000,1000,1.00,これが攻撃するたび：このターン、あなたが次にユニットを召喚した時、そのユニットは追加で＋５００/＋５００カウンター１個が置かれた状態で登場する。,-,-,-,-,w_kyotsui_no_juusousenpei.png,きょついのじゅうそうせんぺい
増援部隊,白,コモン,ユニット,人間・兵士,(1)(白),2,1,500,500,0.50,即時（あなたはこれをフラッシュ・タイミングで召喚してもよい。）,これが登場した時：白の５００/５００の兵士・ユニット・トークン１体を生成する。,-,-,-,w_zouenbutai.png,ぞうえんぶたい
導きの光 シィラ=エラン,白,アンコモン,エピック・ユニット,ケットシー・セージ,(1)(白),2,1,500,1000,0.75,あなたがコントロールしていてこれでないユニット１体が単独で攻撃するたび：ターン終了時まで、それは脅威を得る。５００のライフを得る。（脅威を持つユニットは２体以上のユニットによってしか防御されない。）,あなたのライフが初期ライフより３０００以上多いかぎり、これは＋１０００/＋１０００の変動を受ける。,-,-,他ユニットに対する支援効果と自身のパンプ効果というやや相性が悪い２つの効果を持つ。,w_michibiki_no_hikari_sheila_elan.png,みちびきのひかりしぃらえらん
セレニティ・オラクル,白,コモン,ユニット,有翼人・セージ,(1)(白),2,1,500,1000,0.75,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,還元（これがダメージを与えた場合、さらにあなたはその点数分のライフを得る。）,-,-,-,w_serenity_oracle.png,せれにてぃおらくる
崖上の偵察兵,白,コモン,ユニット,有翼人・兵士,(2)(白),3,1,500,1000,0.50,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,これが登場した時、あなたは５００のライフを得、カード１枚を引く。,-,-,-,w_gaijou_no_teisatsuhei.png,がけうえのていさつへい
比翼の選別者,白,アンコモン,ユニット,有翼人,(2)(白),3,1,1000,1000,0.67,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,"(2),(T)：あなたのデッキの上からカード７枚を公開する。あなたは、その中からコア総量が１である白のユニット・カード１枚を手札に加えてもよい。残りを無作為の順番でデッキの一番下に置く。",-,-,サーチがヒットすれば毎ターン壁や結晶を確保できるが、４ターン目からの始動はやや遅いか。また、ヒット率を上げるにはサーチ先のコスト１を積まなければならないのがネック。,w_hiyoku_no_senbetsusha.png,ひよくのせんべつしゃ
戦場の無垢 アウリシア,白,レア,エピック・ユニット,人間・兵士,(3)(白),4,1,1500,2000,0.88,還元（これがダメージを与えた場合、さらにあなたはその点数分のライフを得る。）,これでないユニット１体が死亡するたび：これの上に＋５００/＋５００カウンター１個を置く。,-,-,-,w_senjou_no_muku_auricia.png,せんじょうのむくあうりしあ
フロスト・マンモス,白,コモン,ユニット,象,(4)(白),5,1,1500,2500,0.80,-,-,-,-,バニラ,w_frost_mammoth.png,ふろすとまんもす
慨世の炯眼 カルミナリア,白,レジェンド,エピック・ユニット,エルダー・ドラゴン,(5)(白)(白)(白),8,0,2500,2500,0.63,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,これの召喚は無効にされない。,これが召喚された時：結晶でもこれでもないすべての場在カードを追放する。,-,エクシード。強力だがとにかく重い。通常の召喚方法以外での登場(蘇生など)で踏み倒す事もできない。出せればゲームを終わらせるパワーはある。,w_gaisei_no_keigan_carminaria_v1.png,がいせいのけいがんかるみなりあ
断罪の浄火,白,レア,マジック,-,(3)(白)(白),5,0,-,-,,すべてのユニットを破壊する。,-,-,-,エクシード。,w_danzai_no_jouka.png,だんざいのじょうか
治癒の手,白,コモン,マジック,-,(1)(白),2,1,-,-,,あなたがセージをコントロールしている場合、これを発動するためのコストは(1)少なくなる。,プレイヤー１人を対象とする。そのプレイヤーは１５００のライフを得、カード１枚を引く。,-,-,-,w_chiyu_no_te.png,ちゆのて
剥離崩壊の光,白,コモン,フラッシュ,-,(1)(白),2,1,-,-,,コア総量が３以上であり疲労状態のユニット１体を対象とする。それを破壊する。,-,-,-,-,w_hakuri_houkai_no_hikari.png,はくりほうかいのひかり
光の魔法障壁,白,コモン,フラッシュ,-,(1)(白),2,1,-,-,,ターン終了時まで、すべてのユニットは不壊を得る。（ダメージや「破壊」と書かれた効果では、それらは破壊されない。）,-,-,-,自分のユニットだけではなく対戦相手のユニットも不壊を得る。,w_hikari_no_mahou_shouheki.png,ひかりのまほうしょうへき
次元破砕帯,白,アンコモン,エフェクト,-,(1)(白),2,1,-,-,,これが登場した時：あなたがコントロールしていてこれでも結晶でもない場在カード１つと、対戦相手がコントロールしていて結晶でない場在カード１つを対象とする。これがバトルゾーンを離れるまで、それを追放する。,"(3)(白),あなたがコントロールしている結晶１つを追放する。：これを持ち主の手札に戻す。",-,-,１：２交換でアド損だが低コストの追放。結晶を犠牲にして再利用も可能。,w_jigen_hasaitai.png,じげんはさいたい
徘徊する骸骨,黒,コモン,ユニット,スケルトン,(黒),1,1,500,500,1.00,(2)(黒)：あなたの墓地からこれをあなたの手札に戻す。,-,-,-,-,b_haikai_suru_gaikotsu.png,はいかいするがいこつ
ボロを纏う者,黒,コモン,ユニット,人間,(黒),1,1,0,500,0.50,(T)：対戦相手１人を対象とする。そのプレイヤーは自身のカード１枚を選んで捨ててもよい。捨てた場合、これを破壊する。捨てない場合、これはそのプレイヤーに５００のダメージを与える。,-,-,-,-,b_boro_o_matou_mono.png,ぼろをまとうもの
猟奇ゴブリン,黒,コモン,ユニット,ゴブリン・道化師・無法者,(黒),1,1,1000,500,1.50,これを召喚するための追加コストとして５００のライフを支払う。,-,-,-,-,b_ryouki_goblin.png,りょうきごぶりん
ブラッドバット,黒,コモン,ユニット,コウモリ,(1)(黒),2,1,500,500,0.50,即時（あなたはこれをフラッシュ・タイミングで召喚してもよい。）,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,還元（これがダメージを与えた場合、さらにあなたはその点数分のライフを得る。）,-,-,b_blood_bat.png,ぶらっどばっと
墓場ゾンビ,黒,コモン,ユニット,ゾンビ,(1)(黒),2,1,500,500,0.50,これが死亡した時：脆弱を持つ黒の５００/５００のゾンビ・ユニット・トークン１体を生成する。（脆弱を持つユニットは防御に参加できない。それが攻撃した時：戦闘終了時に、それを生け贄に捧げる。）,-,-,-,-,b_hakaba_zombie.png,はかばぞんび
人攫い山賊団,黒,コモン,ユニット,人間・無法者,(1)(黒),2,1,0,1500,0.75,これが攻撃するたび：各対戦相手はそれぞれ５００のライフを失い、あなたは５００のライフを得る。,-,-,-,-,b_hitosarai_sanzokudan.png,ひとさらいさんぞくだん
満月の吸血鬼,黒,アンコモン,ユニット,吸血鬼,(1)(黒),2,1,0,500,0.25,飛行（これは飛行や対空を持たないユニットによっては防御されない。）,各ターンの終了時に、このターンに対戦相手がライフを失っていた場合：これの上に＋５００/＋５００カウンター１個を個置く。,-,-,-,b_fullmoon_vampire.png,ふるむーんゔぁんぱいあ
シャドウ・ストーカー,黒,コモン,ユニット,精霊,(2)(黒),3,1,1500,500,0.67,これが登場した時：プレイヤー１人を対象とする。そのプレイヤーはカード１枚を引き、５００のライフを失う。,-,-,-,①自分が１ドローしつつ５００失うか、②対戦相手１人にドローさせつつ５００のライフを失わせる、モード選択型。,b_shadow_stalker.png,しゃどうすとーかー
